action,tool,in_static_ui_layout,verification,followup_stage
common.Interactive.undo,common.Interactive,yes,AnEditIsRecordedUndoneAndRedone,6
common.Interactive.ungroup,common.Interactive,no,Registered; individual UI behavior not verified,8
common.Interactive.unselectAll,common.Interactive,yes,Registered; individual UI behavior not verified,8
common.Interactive.updateMenu,common.Interactive,no,Registered; individual UI behavior not verified,8
common.InteractiveDrawing.arcPosture,common.InteractiveDrawing,no,Registered; individual UI behavior not verified,8
common.InteractiveDrawing.deleteLastPoint,common.InteractiveDrawing,no,Registered; individual UI behavior not verified,8
common.InteractivePicker.pickerSubTool,common.InteractivePicker,no,Registered; individual UI behavior not verified,8
common.InteractivePicker.pickerTool,common.InteractivePicker,no,Registered; individual UI behavior not verified,8
common.InteractiveSelection,common.InteractiveSelection,no,Registered; individual UI behavior not verified,8
common.InteractiveSelection.Rows,common.InteractiveSelection,no,Registered; individual UI behavior not verified,8
common.InteractiveSelection.SelectColumns,common.InteractiveSelection,no,Registered; individual UI behavior not verified,8
common.InteractiveSelection.SelectTable,common.InteractiveSelection,no,Registered; individual UI behavior not verified,8
common.InteractiveSelection.clear,common.InteractiveSelection,no,Registered; individual UI behavior not verified,8
common.InteractiveSelection.cursor,common.InteractiveSelection,no,Registered; individual UI behavior not verified,8
common.InteractiveSelection.reselectItem,common.InteractiveSelection,no,Registered; individual UI behavior not verified,8
common.InteractiveSelection.selectItem,common.InteractiveSelection,no,Registered; individual UI behavior not verified,8
common.InteractiveSelection.selectItems,common.InteractiveSelection,no,Registered; individual UI behavior not verified,8
common.InteractiveSelection.selectionMenu,common.InteractiveSelection,no,Registered; individual UI behavior not verified,8
common.InteractiveSelection.selectionTool,common.InteractiveSelection,yes,Registered; individual UI behavior not verified,8
common.InteractiveSelection.unselectItem,common.InteractiveSelection,no,Registered; individual UI behavior not verified,8
common.InteractiveSelection.unselectItems,common.InteractiveSelection,no,Registered; individual UI behavior not verified,8
common.SuiteControl.about,common.SuiteControl,yes,Registered; individual UI behavior not verified,14
common.SuiteControl.configurePaths,common.SuiteControl,yes,Registered; individual UI behavior not verified,14
common.SuiteControl.donate,common.SuiteControl,no,Registered; individual UI behavior not verified,14
common.SuiteControl.getInvolved,common.SuiteControl,yes,Registered; individual UI behavior not verified,14
common.SuiteControl.gettingStarted,common.SuiteControl,yes,Registered; individual UI behavior not verified,14
common.SuiteControl.help,common.SuiteControl,yes,Registered; individual UI behavior not verified,14
common.SuiteControl.listHotKeys,common.SuiteControl,yes,Registered; individual UI behavior not verified,14
common.SuiteControl.openPreferences,common.SuiteControl,yes,Registered; individual UI behavior not verified,14
common.SuiteControl.reportBug,common.SuiteControl,yes,Registered; individual UI behavior not verified,14
common.SuiteControl.showDesignBLockLibTable,common.SuiteControl,no,Registered; individual UI behavior not verified,14
common.SuiteControl.showFootprintLibTable,common.SuiteControl,no,Registered; individual UI behavior not verified,14
common.SuiteControl.showSymbolLibTable,common.SuiteControl,yes,Registered; individual UI behavior not verified,14
common.TableEditor.addColAfter,common.TableEditor,no,Registered; individual UI behavior not verified,11
common.TableEditor.addColBefore,common.TableEditor,no,Registered; individual UI behavior not verified,11
common.TableEditor.addRowAbove,common.TableEditor,no,Registered; individual UI behavior not verified,11
common.TableEditor.addRowBelow,common.TableEditor,no,Registered; individual UI behavior not verified,11
common.TableEditor.deleteColumns,common.TableEditor,no,Registered; individual UI behavior not verified,11
common.TableEditor.deleteRows,common.TableEditor,no,Registered; individual UI behavior not verified,11
common.TableEditor.exportTableCSV,common.TableEditor,no,Registered; individual UI behavior not verified,11
common.TableEditor.mergeCells,common.TableEditor,no,Registered; individual UI behavior not verified,11
common.TableEditor.unmergeCell,common.TableEditor,no,Registered; individual UI behavior not verified,11
eeschema.Align.alignBottom,eeschema.Align,no,Registered; individual UI behavior not verified,8
eeschema.Align.alignCenterX,eeschema.Align,no,Registered; individual UI behavior not verified,8
eeschema.Align.alignCenterY,eeschema.Align,no,Registered; individual UI behavior not verified,8
eeschema.Align.alignLeft,eeschema.Align,no,Registered; individual UI behavior not verified,8
eeschema.Align.alignRight,eeschema.Align,no,Registered; individual UI behavior not verified,8
eeschema.Align.alignTop,eeschema.Align,no,Registered; individual UI behavior not verified,8
eeschema.AlignToGrid,eeschema.AlignToGrid,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.addVariant,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.angleSnapModeChanged,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.annotate,eeschema.EditorControl,yes,Registered; individual UI behavior not verified,8
eeschema.EditorControl.annotateAutomatically,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.assignFootprints,eeschema.EditorControl,yes,Registered; individual UI behavior not verified,8
eeschema.EditorControl.clearHighlight,eeschema.EditorControl,yes,Registered; individual UI behavior not verified,8
eeschema.EditorControl.copyVariant,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.createNetChain,eeschema.EditorControl,yes,Registered; individual UI behavior not verified,8
eeschema.EditorControl.createNetChainBetweenPins,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.ddAddImage,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.ddAppendFile,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.ddImportGraphics,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.drawSheetOnClipboard,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.editLibSymbolWithSymbolEditor,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.editPageNumber,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.editSymbolFields,eeschema.EditorControl,yes,Registered; individual UI behavior not verified,8
eeschema.EditorControl.editSymbolLibraryLinks,eeschema.EditorControl,yes,Registered; individual UI behavior not verified,8
eeschema.EditorControl.editVariantDescription,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.editWithSymbolEditor,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.exportNetlist,eeschema.EditorControl,yes,Registered; individual UI behavior not verified,8
eeschema.EditorControl.exportSymbolsToLibrary,eeschema.EditorControl,yes,Registered; individual UI behavior not verified,8
eeschema.EditorControl.generateBOM,eeschema.EditorControl,yes,Registered; individual UI behavior not verified,8
eeschema.EditorControl.generateBOMExternal,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.generateBOMLegacy,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.highlightNet,eeschema.EditorControl,yes,Registered; individual UI behavior not verified,8
eeschema.EditorControl.highlightNetChain,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.highlightNetTool,eeschema.EditorControl,yes,Registered; individual UI behavior not verified,8
eeschema.EditorControl.importFPAssignments,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.importGraphics,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.importNonKicadSchematic,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.incrementAnnotations,eeschema.EditorControl,yes,Registered; individual UI behavior not verified,8
eeschema.EditorControl.lineMode45,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.lineModeFree,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.lineModeNext,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.lineModeOrthonal,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.markSimExclusions,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.nameNetChain,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.nextNetItem,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.nextUnit,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.previousNetItem,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.previousUnit,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.remapSymbols,eeschema.EditorControl,yes,Registered; individual UI behavior not verified,8
eeschema.EditorControl.removeFromNetChain,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.removeVariant,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.renameVariant,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.replaceTerminalPin,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.rescueSymbols,eeschema.EditorControl,yes,Registered; individual UI behavior not verified,8
eeschema.EditorControl.restartMove,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.saveCurrSheetCopyAs,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.schematicSetup,eeschema.EditorControl,yes,Registered; individual UI behavior not verified,8
eeschema.EditorControl.selectOnPCB,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.setDNP,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.setExcludeFromBOM,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.setExcludeFromBoard,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.setExcludeFromPosFiles,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.setExcludeFromSimulation,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.showDirectiveLabels,eeschema.EditorControl,yes,Registered; individual UI behavior not verified,8
eeschema.EditorControl.showERCErrors,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.showERCExclusions,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.showERCWarnings,eeschema.EditorControl,yes,Registered; individual UI behavior not verified,8
eeschema.EditorControl.showHiddenFields,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.showHiddenPins,eeschema.EditorControl,yes,Registered; individual UI behavior not verified,8
eeschema.EditorControl.showNetNavigator,eeschema.EditorControl,yes,Registered; individual UI behavior not verified,8
eeschema.EditorControl.showOperatingPointCurrents,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.showOperatingPointVoltages,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.showPcbNew,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.showSimulator,eeschema.EditorControl,yes,Registered; individual UI behavior not verified,8
eeschema.EditorControl.togglePinAltIcons,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorControl.updateNetHighlighting,eeschema.EditorControl,no,Registered; individual UI behavior not verified,8
eeschema.EditorTool.showHierarchy,eeschema.EditorTool,no,Registered; individual UI behavior not verified,8
eeschema.InspectionTool.CompareSchematicWithFile,eeschema.InspectionTool,no,Registered; individual UI behavior not verified,13
eeschema.InspectionTool.CompareSchematicWithHistory,eeschema.InspectionTool,no,Registered; individual UI behavior not verified,13
eeschema.InspectionTool.checkSymbol,eeschema.InspectionTool,no,Registered; individual UI behavior not verified,13
eeschema.InspectionTool.diffSymbol,eeschema.InspectionTool,no,Registered; individual UI behavior not verified,13
eeschema.InspectionTool.runERC,eeschema.InspectionTool,yes,Registered; individual UI behavior not verified,13
eeschema.InspectionTool.showBusSyntaxHelp,eeschema.InspectionTool,yes,Registered; individual UI behavior not verified,13
eeschema.Interactive.decrementPrimary,eeschema.Interactive,no,Registered; individual UI behavior not verified,8
eeschema.Interactive.decrementSecondary,eeschema.Interactive,no,Registered; individual UI behavior not verified,8
eeschema.Interactive.increment,eeschema.Interactive,no,Registered; individual UI behavior not verified,8
eeschema.Interactive.incrementPrimary,eeschema.Interactive,no,Registered; individual UI behavior not verified,8
eeschema.Interactive.incrementSecondary,eeschema.Interactive,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.autoplaceAllSheetPins,eeschema.InteractiveDrawing,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.closeOutline,eeschema.InteractiveDrawing,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.drawArc,eeschema.InteractiveDrawing,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.drawBezier,eeschema.InteractiveDrawing,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.drawCircle,eeschema.InteractiveDrawing,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.drawEllipse,eeschema.InteractiveDrawing,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.drawEllipseArc,eeschema.InteractiveDrawing,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.drawPolygon,eeschema.InteractiveDrawing,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.drawRectangle,eeschema.InteractiveDrawing,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.drawRuleArea,eeschema.InteractiveDrawing,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.drawSheet,eeschema.InteractiveDrawing,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.drawSheetFromDesignBlock,eeschema.InteractiveDrawing,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.drawSheetFromFile,eeschema.InteractiveDrawing,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.drawTable,eeschema.InteractiveDrawing,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.drawTextBox,eeschema.InteractiveDrawing,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.importSheet,eeschema.InteractiveDrawing,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.placeBusWireEntry,eeschema.InteractiveDrawing,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.placeClassLabel,eeschema.InteractiveDrawing,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.placeDesignBlock,eeschema.InteractiveDrawing,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.placeGlobalLabel,eeschema.InteractiveDrawing,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.placeHierarchicalLabel,eeschema.InteractiveDrawing,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.placeImage,eeschema.InteractiveDrawing,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.placeJunction,eeschema.InteractiveDrawing,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.placeLabel,eeschema.InteractiveDrawing,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.placeLinkedDesignBlock,eeschema.InteractiveDrawing,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.placeNextSymbolUnit,eeschema.InteractiveDrawing,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.placeNoConnect,eeschema.InteractiveDrawing,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.placePowerSymbol,eeschema.InteractiveDrawing,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.placeSchematicText,eeschema.InteractiveDrawing,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.placeSheetPin,eeschema.InteractiveDrawing,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.placeSymbol,eeschema.InteractiveDrawing,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.saveToLinkedDesignBlock,eeschema.InteractiveDrawing,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.syncAllSheetsPins,eeschema.InteractiveDrawing,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawing.syncSheetPins,eeschema.InteractiveDrawing,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawingLineWireBus.drawBuses,eeschema.InteractiveDrawingLineWireBus,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawingLineWireBus.drawLines,eeschema.InteractiveDrawingLineWireBus,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawingLineWireBus.drawWires,eeschema.InteractiveDrawingLineWireBus,yes,AWireCanBeDrawnWithThePointer,6
eeschema.InteractiveDrawingLineWireBus.switchPosture,eeschema.InteractiveDrawingLineWireBus,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawingLineWireBus.undoLastSegment,eeschema.InteractiveDrawingLineWireBus,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveDrawingLineWireBus.unfoldBus,eeschema.InteractiveDrawingLineWireBus,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.assignNetclass,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.autoplaceFields,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.breakWire,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
